DateTime,AddedIPs,RemovedIPs
1594220622,1,3
1594224502,1,1
1594226415,3,2
1594228367,2,2
1594230255,24,3
1594232176,0,4
1594234137,1,2
1594236116,3,1
1594237974,0,1
1594239858,1,2
1594241806,2,1
1594243702,0,2
1594246583,3,2
1594248493,2,1
1594250445,2,2
1594254285,1,2
1594256187,1,1
1594258095,0,1
1594260183,2,2
1594262201,1,2
1594264156,2,2
1594266016,1,2
1594267942,0,1
1594269890,1,0
1594274072,3,1
1594275897,0,3
1594277880,1,0
1594281831,2,2
1594283779,0,2
1594285732,1,2
1594287632,1,1
1594289539,2,1
1594291497,1,4
1594293583,2,2
1594295444,1,1
1594297491,0,1
1594299407,1,0
1594301294,1,2
1594303532,0,2
1594305447,0,2
1594307370,2,1
1594309257,2,0
1594311164,1,1
1594313062,2,3
1594315020,2,2
1594316903,2,24
1594318855,0,1
1594320737,1,0
1594322684,1,3
1594324606,1,0
1594326490,3,1
1594329609,3,2
1594331552,1,2
1594333482,1,2
1594335397,2,1
1594337297,0,2
1594339421,3,0
1594341369,0,1
1594343326,1,1
1594345227,2,1
1594347134,0,1
1594349055,0,1
1594350972,1,3
1594354811,1,1
1594356788,3,0
1594358713,1,0
1594360575,1,3
1594362489,1,0
1594364668,2,1
1594366608,1,0
1594368499,2,2
1594370418,3,0
1594372610,0,2
1594374518,1,1
1594376412,2,1
1594378377,2,2
1594380254,4,2
1594382179,1,0
1594384122,4,0
1594387249,2,2
1594389148,1,0
1594391057,5,0
1594393063,1,1
1594394916,2,3
1594396947,0,1
1594398765,3,2
1594400709,6,2
1594402579,1,1
1594404537,2,1
1594406419,2,0
1594408343,2,2
1594410290,1,1
1594412179,1,2
1594414111,0,2
1594416042,7,2
1594417949,1,1
1594419863,1,1
1594421778,2,2
1594423722,4,0
1594425830,0,3
1594427772,3,0
1594429739,5,1
1594431615,4,2
1594435457,1,0
1594437386,1,1
1594439321,1,0
1594441213,2,1
1594443156,0,3
1594445099,2,1
1594446980,0,1
1594449143,8,2
1594451077,0,1
1594453014,2,1
1594454897,0,2
1594456821,1,3
1594458770,1,0
1594460657,0,1
1594462579,20,2
1594464530,0,2
1594466419,3,4
1594468373,0,1
1594470295,11,3
1594472181,1,2
1594474096,6,2
1594476270,4,4
1594478225,2,2
1594480143,2,0
1594482318,1,2
1594484184,0,1
1594486122,1,5
1594488056,1,4
1594491890,2,3
1594493780,1,2
1594495698,1,2
1594497860,1,1
1594501699,0,7
1594505574,0,1
1594507477,1,2
1594509373,0,1
1594511352,0,4
1594515146,1,5
1594517089,1,4
1594519000,1,3
1594523099,3,1
1594525002,1,1
1594526918,3,2
1594528816,0,1
1594531019,0,2
1594532918,6,0
1594534816,0,4
1594536791,0,4
1594538657,0,2
1594540601,3,0
1594542492,0,1
1594544549,0,1
1594546460,1,0
1594548290,19,18
1594550186,1,2
1594552124,3,2
1594554015,5,1
1594555937,19,10
1594557900,8,2
1594559780,11,4
1594561705,7,4
1594563667,2,3
1594565592,1,2
1594567496,0,1
1594569387,1,1
1594571337,0,1
1594573519,2,0
1594575464,1,1
1594577301,0,1
1594579227,0,1
1594581166,1,2
1594583070,1,1
1594584978,2,0
1594586925,1,0
1594588833,1,0
1594590771,1,0
1594592698,1,0
1594594610,3,1
1594596866,2,0
1594600579,4,0
1594602610,3,2
1594604421,3,0
1594606339,3,1
1594608320,0,1
1594610182,2,2
1594612109,1,2
1594614047,0,2
1594615952,2,0
1594617881,2,5
1594619820,3,1
1594621705,1,0
1594623877,2,0
1594625812,1,2
1594627719,1,1
1594629621,2,0
1594631566,7,1
1594633493,3,1
1594635380,1,19
1594637351,5,1
1594639217,0,2
1594641170,0,11
1594643087,0,15
1594645023,0,9
1594646897,1,13
1594649082,4,4
1594651048,0,1
1594652913,2,0
1594654859,1,1
1594656743,2,0
1594658661,0,1
1594660586,3,1
1594662497,1,1
1594664454,3,0
1594666339,2,1
1594668260,1,0
1594670219,2,2
1594672090,0,2
1594676908,0,2
1594678824,0,1
1594680770,3,2
1594682686,1,2
1594684581,2,1
1594686521,1,3
1594688743,2,4
1594690579,1,3
1594692782,2,3
1594694658,2,0
1594696740,0,2
1594698769,2,1
1594700678,1,0
1594702604,0,2
1594704518,3,2
1594706641,13,3
1594708504,6,1
1594710530,1,2
1594712595,2,1
1594714604,0,2
1594716533,1,3
1594718423,4,6
1594720343,1,2
1594722735,3,3
1594724900,1,3
1594726842,2,0
1594729081,3,0
1594732842,0,1
1594734792,1,3
1594736686,0,1
1594738573,3,2
1594740518,0,1
1594742626,1,2
1594744609,2,0
1594746498,2,3
1594748417,1,1
1594750362,1,3
1594752253,2,1
1594754175,0,2
1594756125,2,1
1594758015,0,1
1594759940,3,0
1594761759,1,0
1594763565,1,0
1594767372,1,3
1594769216,1,1
1594772268,1,3
1594774129,2,2
1594777937,3,2
1594779891,1,2
1594781795,2,1
1594783691,6,2
1594785836,0,1
1594787814,3,0
1594789701,2,0
1594791613,1,12
1594793447,3,4
1594795253,0,7
1594797142,1,1
1594799289,0,1
1594801227,0,1
1594803176,1,0
1594805134,8,5
1594806992,3,0
1594808894,1,3
1594811041,4,1
1594813061,4,2
1594814890,2,1
1594816832,3,2
1594818767,1,0
1594820671,1,1
1594822819,1,0
1594824779,5,3
1594826679,3,0
1594828647,4,1
1594830498,1,2
1594832532,3,2
1594836204,1,1
1594838201,0,3
1594840107,2,0
1594842010,1,2
1594843989,3,0
1594845882,4,3
1594847789,4,1
1594849727,5,1
1594851610,3,0
1594853586,0,1
1594855510,4,1
1594857378,5,0
1594859322,3,1
1594861378,3,2
1594863382,2,2
1594865329,2,2
1594867222,1,1
1594869138,2,5
1594871085,3,2
1594872977,3,1
1594874917,3,4
1594876840,3,0
1594878739,1,3
1594880662,3,1
1594882602,5,1
1594887372,1,0
1594889358,4,1
1594891212,3,7
1594893132,3,1
1594895090,3,4
1594896971,2,4
1594898892,1,3
1594900972,3,2
1594902975,5,4
1594906861,0,2
1594908692,2,0
1594910927,8,6
1594913026,0,3
1594915011,3,4
1594916902,3,1
1594919036,1,3
1594920970,1,0
1594922927,4,1
1594925796,1,0
1594928032,2,3
1594930073,4,2
1594932140,1,5
1594934271,1,4
1594936123,1,5
1594938012,3,3
1594939946,5,0
1594941849,1,4
1594943797,1,5
1594945695,2,3
1594947798,1,3
1594949772,0,2
1594951728,2,2
1594953663,2,1
1594955531,0,2
1594957480,1,3
1594959406,0,3
1594961297,1,3
1594963247,1,3
1594965138,1,1
1594967097,2,3
1594969029,2,5
1594970895,3,0
1594973026,5,0
1594974896,5,4
1594976926,2,3
1594978822,2,3
1594980743,2,3
1594982670,1,3
1594984578,7,0
1594986528,0,2
1594988422,0,4
1594990344,0,3
1594992292,1,0
1594994191,5,1
1594996096,4,3
1594998269,3,6
1595000216,1,1
1595002101,2,2
1595004023,1,3
1595005965,5,1
1595007872,0,2
1595009780,1,3
1595011998,1,1
1595013908,0,1
1595015777,1,3
1595017734,2,3
1595019933,1,0
1595021807,1,1
1595023710,1,1
1595025668,4,5
1595027565,1,4
1595029460,2,0
1595031408,2,3
1595033336,1,1
1595035218,1,0
1595037140,1,0
1595039087,0,2
1595041040,3,2
1595042897,0,1
1595044992,2,0
1595046997,1,1
1595049168,0,1
1595051056,1,0
1595052975,1,2
1595054923,0,2
1595056817,3,4
1595058734,5,5
1595060692,1,3
1595062607,0,4
1595064507,1,1
1595066575,0,3
1595068594,1,1
1595070490,4,6
1595072422,5,1
1595074362,7,0
1595076250,20,0
1595078170,4,1
1595080116,0,5
1595082009,1,3
1595083928,1,2
1595085960,1,2
1595087773,2,2
1595089934,3,1
1595091859,3,4
1595093799,6,2
1595095793,2,0
1595097705,3,2
1595099544,2,0
1595101458,1,1
1595103404,4,2
1595105300,2,0
1595107276,2,2
1595109165,2,1
1595111063,1,3
1595112976,3,1
1595114923,7,1
1595117810,3,4
1595119700,3,1
1595121623,3,1
1595123576,2,1
1595125475,7,0
1595127447,0,3
1595129325,2,0
1595131409,8,2
1595133378,1,1
1595135323,4,0
1595137213,2,0
1595139164,2,2
1595141057,4,0
1595142971,1,3
1595144918,1,3
1595146816,0,3
1595150718,3,1
1595152585,3,0
1595154493,2,0
1595156563,4,3
1595158382,2,6
1595160303,2,7
1595162202,1,19
1595164094,2,6
1595166015,3,0
1595168057,2,0
1595170002,1,1
1595172002,0,2
1595173964,8,2
1595175888,1,3
1595177803,0,2
1595179695,5,3
1595181865,0,5
1595183806,1,4
1595185978,0,2
1595187871,1,1
1595189789,1,4
1595191732,4,2
1595193622,1,2
1595195584,1,2
1595197499,1,1
1595199378,0,3
1595201540,1,7
1595203734,0,3
1595205648,4,2
1595207570,2,4
1595209461,0,1
1595211415,2,5
1595213373,1,3
1595215220,5,0
1595217141,1,10
1595219109,0,1
1595220982,0,3
1595222901,4,1
1595225054,2,4
1595227256,1,3
1595229146,2,2
1595231053,2,1
1595233007,1,0
1595236871,2,3
1595238731,0,2
1595240685,0,1
